"RefSeq.mRNA" "Transcript_length" "UTR_length"
"138339" "NM_001203252" 5718 4162
"138340" "" 3765 33
"138341" "NM_001127255" 3421 230
"138342" "NM_139176" 3421 230
"138343" "" 2051 148
"138344" "" 2051 51
"138345" "" 2051 172
"138346" "" 2051 51
"138347" "" 2051 172
"138348" "" 2051 108
"138349" "" 2051 269
"138350" "NM_001282359" 5685 2925
"138351" "NM_001256462" 1862 273
"138352" "" 1811 502
"138353" "" 1810 501
"138354" "" 3921 44
"138355" "" 1129 56
"138356" "NM_001278098" 3638 2973
"138357" "NM_153443" 1691 439
"138358" "NM_001271033" 4086 1860
"138359" "NM_001261418" 1923 477
"138360" "NM_015629" 2183 286
"138361" "NM_138623" 5044 112
"138362" "NM_138623" 5044 4312
"138363" "" 881 70
"138364" "" 881 80
"138365" "" 881 599
"138366" "" 1742 1101
"138367" "NM_001271699" 2408 197
"138368" "NM_001518" 4352 16
"138369" "NM_001518" 4352 1144
"138370" "" 1951 1
"138371" "" 1951 648
"138372" "NM_004477" 1074 74
"138373" "" 582 84
"138374" "NM_133343" 3002 508
"138375" "" 897 207
"138376" "NM_001163022" 2014 45
"138377" "" 1006 120
"138378" "NM_001243755" 1349 828
"138379" "NM_181985" 1080 160
"138380" "NM_001080770" 1637 405
"138381" "" 975 87
"138382" "" 1041 257
"138383" "" 883 177
"138384" "NM_033518" 1993 395
"138385" "" 3337 1832
"138386" "" 3134 2281
"138387" "NM_148911" 2795 1053
"138388" "" 3606 1055
"138389" "" 3606 81
"138390" "" 3606 1460
"138391" "NM_001285392" 2257 1638
"138392" "NM_001285393" 2257 1638
"138393" "NM_001242356" 868 199
"138394" "" 2324 1
"138395" "" 2324 1580
"138396" "" 1601 512
"138397" "" 1690 7
"138398" "" 1690 469
"138399" "" 1619 72
"138400" "" 771 71
"138401" "" 869 207
"138402" "NM_001024939" 1555 17
"138403" "NM_001286438" 1193 410
"138404" "NM_001286439" 1193 410
"138405" "NM_001197320" 3626 2823
"138406" "" 1734 140
"138407" "" 2935 1738
"138408" "NM_001251991" 1039 293
"138409" "NM_013289" 1865 502
"138410" "NM_001080770" 1637 405
"138411" "" 1489 376
"138412" "" 4138 272
"138413" "" 1956 686
"138414" "" 973 129
"138415" "" 2112 481
"138416" "NM_001193307" 6754 1814
"138417" "NM_002854" 595 205
"138418" "" 4318 50
"138419" "" 426 201
"138420" "NM_001253829" 4437 1907
"138421" "NM_001145440" 3113 982
"138422" "NM_001286371" 3272 2302
"138423" "" 1309 73
"138424" "" 1303 309
"138425" "NM_001080772" 1547 40
"138426" "NM_001080772" 1547 671
"138427" "NM_022140" 4707 2371
"138428" "NM_133271" 608 26
"138429" "" 1852 1225
"138430" "NM_001271959" 2322 998
"138431" "" 3304 1252
"138432" "NM_001278403" 2783 860
"138433" "NM_001080978" 2783 860
"138434" "" 1426 1019
"138435" "NM_001080772" 1580 40
"138436" "NM_001080772" 1580 675
"138437" "" 5592 19
"138438" "" 5592 160
"138439" "" 5592 149
"138440" "" 5592 80
"138441" "" 5592 2915
"138442" "" 5592 1662
"138443" "" 1601 512
"138444" "NM_001080423" 7752 4553
"138445" "NM_021250" 1363 342
"138446" "" 1300 6
"138447" "NM_003257" 7230 1435
"138448" "NM_001301025" 7230 1435
"138449" "NM_175610" 7230 1435
"138450" "" 1181 487
"138451" "" 557 142
"138452" "NM_001287594" 1098 258
"138453" "NM_001199697" 3104 101
"138454" "" 3420 236
"138455" "NM_001242357" 688 101
"138456" "NM_006478" 2483 287
"138457" "NM_014967" 4888 2
"138458" "NM_014967" 4888 1539
"138459" "" 1669 826
"138460" "NM_002134" 1908 589
"138461" "NM_001286268" 1908 589
"138462" "" 3670 886
"138463" "" 3449 124
"138464" "" 3449 104
"138465" "" 3449 1365
"138466" "" 2701 25
"138467" "" 1658 289
"138468" "" 1636 286
"138469" "" 1636 302
"138470" "" 1636 50
"138471" "" 1636 267
"138472" "" 1636 127
"138473" "" 492 253
"138474" "" 4302 1622
"138475" "" 4454 25
"138476" "" 4454 123
"138477" "" 4454 72
"138478" "" 4454 100
"138479" "" 4454 173
"138480" "" 4454 134
"138481" "" 4454 50
"138482" "" 4454 140
"138483" "" 4454 29
"138484" "" 4454 292
"138485" "" 4454 228
"138486" "" 4454 122
"138487" "" 4454 131
"138488" "" 4454 128
"138489" "" 4454 251
"138490" "" 4454 20
"138491" "" 4454 144
"138492" "" 4454 202
"138493" "" 4454 132
"138494" "" 4454 1248
"138495" "" 2056 51
"138496" "NM_001207020" 1405 210
"138497" "NM_001289166" 3055 436
"138498" "NM_182490" 3055 436
"138499" "" 1418 22
"138500" "" 1418 162
"138501" "" 4234 864
"138502" "NM_001206559" 1606 1068
"138503" "" 774 22
"138504" "" 774 149
"138505" "" 1452 329
"138506" "NM_001282445" 3336 1605
"138507" "NM_001278792" 1635 601
"138508" "NM_001278791" 1635 601
"138509" "NM_016346" 2064 807
"138510" "" 4450 235
"138511" "" 2019 666
"138512" "NM_001278918" 3452 1198
"138513" "NM_001242903" 4285 1017
"138514" "" 3400 1477
"138515" "NM_001165923" 1971 199
"138516" "NM_001252093" 3801 3264
"138517" "NM_001242608" 4698 2271
"138518" "NM_014392" 1483 491
"138519" "NM_014392" 1483 271
"138520" "NM_001270999" 1070 344
"138521" "" 1124 478
"138522" "" 1372 294
"138523" "NM_080550" 4841 1109
"138524" "NM_001261455" 2156 859
"138525" "NM_001261454" 2156 859
"138526" "NM_024308" 1598 602
"138527" "NM_004996" 6518 1781
"138528" "NM_001146083" 2471 630
"138529" "" 2876 105
"138530" "" 2876 98
"138531" "" 2876 219
"138532" "" 2876 95
"138533" "" 2876 395
"138534" "" 2876 778
"138535" "" 2876 129
"138536" "" 2876 93
"138537" "" 2876 79
"138538" "" 2876 170
"138539" "" 2876 29
"138540" "NM_001267810" 1054 289
"138541" "NM_006737" 1863 475
"138542" "NM_001200029" 1696 413
"138543" "NM_052854" 2687 675
"138544" "NM_005532" 644 167
"138545" "NM_001288958" 644 167
"138546" "NM_001288995" 644 167
"138547" "NM_032932" 8628 6484
"138548" "NM_181606" 721 395
"138549" "" 3020 196
"138550" "" 3020 171
"138551" "NM_032099" 2670 71
"138552" "" 3005 1615
"138553" "" 1380 7
"138554" "" 1380 159
"138555" "" 1843 296
"138556" "NM_001080770" 1474 404
"138557" "" 462 33
"138558" "" 1900 38
"138559" "" 1900 883
"138560" "" 3896 142
"138561" "NM_006840" 2189 316
"138562" "" 4160 2777
"138563" "NM_133625" 2674 774
"138564" "NM_001174081" 3542 241
"138565" "" 1301 510
"138566" "" 1181 481
"138567" "" 3999 1447
"138568" "NM_001278531" 2003 70
"138569" "NM_014512" 1101 172
"138570" "NM_001244960" 5064 3291
"138571" "" 1213 81
"138572" "" 1213 203
"138573" "" 1213 197
"138574" "" 1213 238
"138575" "" 1213 296
"138576" "" 2973 178
"138577" "" 4181 42
"138578" "" 4181 137
"138579" "" 4181 81
"138580" "" 4181 116
"138581" "" 4181 715
"138582" "" 4181 319
"138583" "" 4181 196
"138584" "" 4181 169
"138585" "" 4181 110
"138586" "" 4181 1790
"138587" "NM_000533" 3001 2020
"138588" "NM_001305004" 3001 2020
"138589" "" 1872 318
"138590" "NM_001083539" 1769 564
"138591" "NM_001304359" 17448 435
"138592" "NM_001039841" 2042 2
"138593" "NM_001039841" 2042 74
"138594" "NM_001039841" 2042 63
"138595" "NM_001039841" 2042 181
"138596" "NM_001039841" 2042 46
"138597" "NM_001039841" 2042 245
"138598" "" 3187 9
"138599" "" 4048 273
"138600" "" 2631 608
"138601" "" 1788 87
"138602" "" 1788 154
"138603" "" 1788 592
"138604" "" 486 75
"138605" "" 3826 224
"138606" "NM_017852" 3573 241
"138607" "" 941 7
"138608" "" 941 112
"138609" "" 941 219
"138610" "NM_001040704" 316 99
"138611" "" 1656 404
"138612" "NM_001287759" 6627 1391
"138613" "NM_031372" 4139 21
"138614" "NM_031372" 4139 2318
"138615" "NM_001835" 5313 19
"138616" "NM_001835" 5313 496
"138617" "NM_020535" 1632 503
"138618" "NM_133340" 2648 506
"138619" "NM_001256017" 2210 1215
"138620" "NM_032490" 1154 793
"138621" "NM_021270" 538 117
"138622" "" 609 140
"138623" "NM_001178087" 703 308
"138624" "" 1826 1009
"138625" "NM_024316" 886 77
"138626" "" 1063 276
"138627" "" 1063 91
"138628" "" 1355 550
"138629" "NM_001289027" 2570 1514
"138630" "" 1868 233
"138631" "" 1868 848
"138632" "NM_001288825" 1939 404
"138633" "" 1126 83
"138634" "NM_207003" 5224 112
"138635" "NM_207003" 5224 4312
"138636" "NM_138622" 5224 112
"138637" "NM_138622" 5224 4312
"138638" "NM_020535" 1632 503
"138639" "NM_052925" 4138 1087
"138640" "NM_004542" 353 70
"138641" "" 4770 3659
"138642" "NM_198838" 7912 498
"138643" "" 1990 114
"138644" "NM_001278595" 3084 202
"138645" "NM_173573" 2091 122
"138646" "" 802 90
"138647" "" 671 209
"138648" "NM_130771" 1547 550
"138649" "NM_133169" 1547 550
"138650" "NM_005937" 7578 4204
"138651" "NM_001134738" 3399 1080
"138652" "" 707 334
"138653" "" 4481 3423
"138654" "" 2119 81
"138655" "NM_001033580" 1640 282
"138656" "NM_001267056" 2467 1366
"138657" "NM_003693" 3443 899
"138658" "" 607 501
"138659" "NM_013289" 1857 502
"138660" "NM_001270691" 2322 338
"138661" "NM_001203245" 784 39
"138662" "NM_001004060" 3921 44
"138663" "" 1397 45
"138664" "NM_001257230" 3893 645
"138665" "NM_001257234" 3893 645
"138666" "" 819 108
"138667" "" 819 510
"138668" "NM_205834" 2274 100
"138669" "" 1945 500
"138670" "" 1945 160
"138671" "" 1945 114
"138672" "" 1945 116
"138673" "" 1945 126
"138674" "" 1945 111
"138675" "NM_001282594" 2608 1636
"138676" "NM_001197080" 3232 1680
"138677" "" 1772 31
"138678" "" 1772 280
"138679" "" 1468 1008
"138680" "NM_175882" 2238 110
"138681" "NM_001756" 1534 168
"138682" "" 2503 1377
"138683" "NM_001318913" 4449 299
"138684" "NM_001572" 1968 85
"138685" "" 1591 629
"138686" "" 2437 72
"138687" "" 2437 46
"138688" "" 2437 86
"138689" "" 2437 44
"138690" "" 2437 257
"138691" "" 2437 818
"138692" "" 2437 51
"138693" "" 2437 68
"138694" "" 2437 65
"138695" "" 2437 129
"138696" "" 2437 166
"138697" "" 1658 289
"138698" "NM_177457" 4537 3969
"138699" "NM_001291381" 1604 98
"138700" "" 1686 329
"138701" "NM_005650" 7410 43
"138702" "NM_005650" 7410 1345
"138703" "NM_033160" 4025 692
"138704" "NM_001277813" 2370 248
"138705" "" 1063 276
"138706" "" 1063 91
"138707" "" 6225 2146
"138708" "NM_001204194" 1270 854
"138709" "NM_005870" 2300 1741
"138710" "" 2405 397
"138711" "" 1179 92
"138712" "NM_012314" 1630 625
"138713" "NM_001195290" 605 185
"138714" "" 1377 288
"138715" "NM_001267727" 2599 395
"138716" "NM_006544" 10589 8101
"138717" "NM_001291305" 954 34
"138718" "NM_001256540" 954 34
"138719" "" 1832 1678
"138720" "NM_001084393" 1545 1125
"138721" "NM_001146083" 2471 630
"138722" "" 1377 288
"138723" "NM_014219" 1572 510
"138724" "NM_016429" 895 256
"138725" "" 1824 554
"138726" "NM_004635" 2563 1250
"138727" "NM_001243925" 2563 1250
"138728" "" 1648 72
"138729" "" 1648 46
"138730" "" 1648 86
"138731" "" 1648 44
"138732" "" 1648 56
"138733" "" 1648 51
"138734" "" 1648 68
"138735" "" 1648 591
"138736" "NM_001282675" 2842 242
"138737" "" 1967 1221
"138738" "NM_001013407" 1855 323
"138739" "NM_181879" 922 44
"138740" "NM_001242534" 2850 901
"138741" "NM_001080772" 1566 40
"138742" "NM_001080772" 1566 675
"138743" "" 612 47
"138744" "" 4644 852
"138745" "NM_017972" 12396 10951
"138746" "NM_145171" 543 92
"138747" "NM_133168" 2016 1007
"138748" "NM_001282350" 2016 1007
"138749" "NM_153640" 1763 560
"138750" "NM_014647" 7743 2306
"138751" "NM_001293810" 955 127
"138752" "NM_001293810" 955 176
"138753" "NM_001293810" 955 478
"138754" "" 915 38
"138755" "" 915 77
"138756" "" 915 101
"138757" "" 915 181
"138758" "" 915 96
"138759" "" 915 62
"138760" "NM_005266" 3183 1961
"138761" "" 4922 2269
"138762" "" 1706 202
"138763" "" 610 117
"138764" "" 610 172
"138765" "" 1904 40
"138766" "" 1904 363
"138767" "NM_001202548" 929 268
"138768" "NM_001270531" 2109 705
"138769" "" 1572 383
"138770" "NM_001257206" 4062 3110
"138771" "NM_001144935" 4062 3110
"138772" "NM_001257205" 4062 3110
"138773" "NM_001144934" 4062 3110
"138774" "" 4000 1962
"138775" "NM_001145303" 2413 140
"138776" "" 1481 206
"138777" "" 1481 101
"138778" "" 1481 454
"138779" "NM_001278405" 1892 40
"138780" "NM_001278405" 1892 315
"138781" "" 1647 295
"138782" "NM_001040114" 6847 818
"138783" "" 4299 88
"138784" "" 4299 96
"138785" "" 4299 631
"138786" "" 4299 121
"138787" "" 4299 90
"138788" "" 4299 171
"138789" "" 4299 73
"138790" "" 4299 121
"138791" "" 4299 113
"138792" "" 4299 176
"138793" "" 4299 288
"138794" "" 4299 766
"138795" "" 14886 7943
"138796" "NM_001278427" 1588 204
"138797" "NM_001178063" 2002 316
"138798" "NM_004590" 1506 1066
"138799" "NM_001207052" 1337 113
"138800" "NM_001308334" 6038 2163
"138801" "" 1017 120
"138802" "" 1017 142
"138803" "" 1017 96
"138804" "" 1017 116
"138805" "" 1017 81
"138806" "" 1890 403
"138807" "" 992 674
"138808" "" 992 209
"138809" "" 486 120
"138810" "" 486 128
"138811" "" 486 104
"138812" "NM_206828" 3250 230
"138813" "NM_005465" 4926 3485
"138814" "NM_001291466" 2076 308
"138815" "" 2269 396
"138816" "" 4179 3914
"138817" "" 1194 13
"138818" "NM_002467" 2366 475
"138819" "NM_017852" 3573 241
"138820" "NM_001009905" 1383 23
"138821" "NM_001009905" 1383 258
"138822" "NM_002984" 667 308
"138823" "NM_001270405" 3148 2556
"138824" "" 639 498
"138825" "NM_033338" 2378 1366
"138826" "" 4426 123
"138827" "NM_001290270" 1452 48
"138828" "NM_024298" 2598 630
"138829" "NM_001146082" 2598 630
"138830" "NM_138412" 1987 730
"138831" "" 1268 55
"138832" "" 1268 89
"138833" "" 1268 139
"138834" "" 1268 142
"138835" "" 1268 96
"138836" "" 1268 274
"138837" "" 1216 408
"138838" "" 552 313
"138839" "" 2857 1261
"138840" "" 1606 22
"138841" "" 1606 318
"138842" "" 1220 171
"138843" "" 1220 132
"138844" "" 1220 227
"138845" "" 1220 522
"138846" "" 977 509
"138847" "NM_020414" 5612 2899
"138848" "NM_001287344" 2767 437
"138849" "NM_002255" 1581 405
"138850" "" 5632 1517
"138851" "NM_012189" 2226 15
"138852" "NM_012189" 2226 597
"138853" "NM_012189" 2226 81
"138854" "NM_021089" 9128 7268
"138855" "" 3885 281
"138856" "NM_001242357" 688 101
"138857" "NM_001130677" 3719 1652
"138858" "" 1809 207
"138859" "" 1809 41
"138860" "" 1809 625
"138861" "" 4565 243
"138862" "" 2114 164
"138863" "NM_001242546" 3567 2741
"138864" "NM_001242547" 3567 2741
"138865" "" 471 58
"138866" "" 471 47
"138867" "" 471 31
"138868" "" 471 47
"138869" "" 471 99
"138870" "" 1075 57
"138871" "NM_144686" 2372 197
"138872" "NM_001270421" 1444 708
"138873" "NM_001270491" 1098 485
"138874" "NM_021729" 3313 354
"138875" "" 1907 409
"138876" "" 2660 626
"138877" "" 1080 122
"138878" "NM_133271" 608 26
"138879" "NM_001270879" 1192 509
"138880" "NM_024835" 2847 436
"138881" "NM_001278427" 1761 377
"138882" "NM_001282531" 6224 2485
"138883" "" 1429 306
"138884" "" 1596 508
"138885" "NM_006737" 1874 475
"138886" "NM_002000" 1483 608
"138887" "" 2812 131
"138888" "" 2812 81
"138889" "" 2812 137
"138890" "" 2812 156
"138891" "" 2812 106
"138892" "" 2812 129
"138893" "" 2812 189
"138894" "" 2812 192
"138895" "" 2812 1069
"138896" "" 1874 0
"138897" "" 1874 345
"138898" "NM_001142771" 5700 255
"138899" "" 4054 2847
"138900" "NM_019841" 2952 412
"138901" "NM_001701" 2252 923
"138902" "NM_001127610" 2252 923
"138903" "" 992 76
"138904" "" 992 81
"138905" "" 992 82
"138906" "" 992 58
"138907" "" 992 164
"138908" "" 992 78
"138909" "NM_001044" 3936 1944
"138910" "NM_013289" 1865 502
"138911" "" 1456 106
"138912" "" 1456 907
"138913" "NM_006866" 1732 207
"138914" "NM_001204084" 2133 1326
"138915" "NM_003561" 1000 61
"138916" "" 1918 227
"138917" "" 1371 18
"138918" "" 1371 177
"138919" "" 1371 92
"138920" "" 1371 64
"138921" "NM_001261399" 709 17
"138922" "NM_001261399" 709 116
"138923" "" 518 180
"138924" "NM_001163636" 4412 16
"138925" "NM_001163636" 4412 1144
"138926" "NM_033001" 4412 16
"138927" "NM_033001" 4412 1144
"138928" "NM_001271680" 379 114
"138929" "" 2032 574
"138930" "" 1125 65
"138931" "" 1125 216
"138932" "" 1125 77
"138933" "" 1125 80
"138934" "" 3166 206
"138935" "" 3166 74
"138936" "" 3166 131
"138937" "" 3166 145
"138938" "" 1848 71
"138939" "" 8646 131
"138940" "" 8646 178
"138941" "" 8646 72
"138942" "" 8646 113
"138943" "" 8646 100
"138944" "" 8646 76
"138945" "" 8646 81
"138946" "" 8646 98
"138947" "" 8646 97
"138948" "" 8646 191
"138949" "" 8646 78
"138950" "" 8646 87
"138951" "" 8646 219
"138952" "" 8646 112
"138953" "" 8646 59
"138954" "" 8646 75
"138955" "" 8646 118
"138956" "" 8646 42
"138957" "" 8646 220
"138958" "" 8646 111
"138959" "" 8646 169
"138960" "" 8646 145
"138961" "" 8646 63
"138962" "" 8646 69
"138963" "" 8646 76
"138964" "" 8646 73
"138965" "" 8646 115
"138966" "" 8646 94
"138967" "" 8646 96
"138968" "" 8646 145
"138969" "" 8646 115
"138970" "" 8646 133
"138971" "" 8646 211
"138972" "" 8646 140
"138973" "" 8646 77
"138974" "" 14425 1622
"138975" "NM_001317010" 3536 1921
"138976" "NM_001025368" 3536 1921
"138977" "" 1172 416
"138978" "NM_001134368" 1252 367
"138979" "" 1650 3
"138980" "NM_014058" 2136 799
"138981" "" 1810 501
"138982" "" 1049 400
"138983" "" 2734 2057
"138984" "" 512 87
"138985" "NM_001289026" 2606 1514
"138986" "NM_001289027" 2606 1514
"138987" "" 897 3
"138988" "" 897 77
"138989" "" 1651 94
"138990" "" 1189 404
"138991" "NM_001286433" 904 410
"138992" "NM_001145073" 2618 940
"138993" "" 9055 876
"138994" "NM_001199780" 4217 3722
"138995" "" 1886 442
"138996" "NM_001199723" 1033 407
"138997" "NM_001127255" 3421 230
"138998" "NM_130771" 1547 550
"138999" "" 1008 92
"139000" "NM_001205294" 16171 9249
"139001" "NM_001145457" 1161 207
"139002" "NM_004829" 1161 207
"139003" "" 566 31
"139004" "" 566 49
"139005" "" 566 57
"139006" "" 566 83
"139007" "" 566 113
"139008" "NM_001256410" 4894 4185
"139009" "NM_133339" 2117 8
"139010" "NM_013244" 2582 543
"139011" "NM_020677" 1376 99
"139012" "NM_001284262" 1542 460
"139013" "NM_001282758" 1931 774
"139014" "" 3089 103
"139015" "" 916 276
"139016" "" 916 183
"139017" "" 916 132
"139018" "" 916 158
"139019" "NM_001277814" 2363 398
"139020" "NM_001145303" 2413 140
"139021" "NM_001288653" 8587 3103
"139022" "NM_001042405" 6457 2020
"139023" "NM_001284251" 3584 2582
"139024" "NM_032631" 2255 196
"139025" "NM_182985" 1901 54
"139026" "" 2497 8
"139027" "" 2497 257
"139028" "" 1497 103
"139029" "NM_015995" 6803 5602
"139030" "" 3483 806
"139031" "" 3483 797
"139032" "" 3483 652
"139033" "NM_153326" 1360 91
"139034" "NM_001202413" 1360 91
"139035" "NM_001145971" 1931 749
"139036" "NM_138412" 1931 749
"139037" "NM_001076682" 2787 367
"139038" "" 1907 357
"139039" "" 1337 775
"139040" "NM_001081442" 2137 289
"139041" "" 4034 83
"139042" "" 4034 75
"139043" "" 4034 98
"139044" "" 4034 123
"139045" "" 4034 103
"139046" "" 4034 80
"139047" "" 4034 137
"139048" "" 4034 81
"139049" "" 4034 116
"139050" "" 4034 245
"139051" "" 4034 70
"139052" "" 4034 319
"139053" "" 4034 196
"139054" "" 4034 169
"139055" "" 4034 110
"139056" "" 4034 1790
"139057" "" 883 552
"139058" "NM_024298" 2598 630
"139059" "NM_001146082" 2598 630
"139060" "" 1196 122
"139061" "NM_003820" 1707 555
"139062" "NM_032351" 1705 622
"139063" "" 1294 305
"139064" "NM_001001317" 913 77
"139065" "" 1102 82
"139066" "NM_001277818" 2296 460
"139067" "NM_001287526" 2272 1766
"139068" "" 3233 51
"139069" "" 3233 220
"139070" "" 1943 63
"139071" "NM_001282" 5702 2709
"139072" "" 5916 84
"139073" "" 1378 62
"139074" "" 1378 52
"139075" "" 1378 195
"139076" "" 433 56
"139077" "NM_001142854" 2303 217
"139078" "NM_024316" 886 77
"139079" "" 1489 405
"139080" "NM_001001437" 784 416
"139081" "NM_001256399" 1625 517
"139082" "" 3038 43
"139083" "" 3038 204
"139084" "" 3038 169
"139085" "" 3038 111
"139086" "" 3038 457
"139087" "NM_145201" 1702 51
"139088" "" 2387 408
"139089" "" 7983 854
"139090" "" 3358 281
"139091" "" 2029 275
"139092" "" 7186 2006
"139093" "NM_018406" 16568 410
"139094" "" 1901 11
"139095" "" 1901 23
"139096" "" 1901 123
"139097" "" 1901 58
"139098" "" 1901 50
"139099" "" 1901 84
"139100" "" 1901 126
"139101" "" 1901 735
"139102" "NM_001303016" 2490 1062
"139103" "NM_001303018" 2490 1062
"139104" "NM_001303020" 2490 1062
"139105" "" 2183 202
"139106" "" 10659 8402
"139107" "NM_001278427" 1588 204
"139108" "" 1352 272
"139109" "NM_001278403" 2782 859
"139110" "" 2738 2045
"139111" "NM_001136561" 1148 22
"139112" "NM_004866" 4509 3402
"139113" "NM_001195107" 3673 915
"139114" "" 1410 456
"139115" "" 1078 45
"139116" "" 1078 99
"139117" "" 1078 259
"139118" "" 2526 380
"139119" "" 2526 991
"139120" "NM_133278" 771 8
"139121" "NM_133274" 771 8
"139122" "" 563 193
"139123" "" 1403 10
"139124" "" 1403 225
"139125" "NM_001258357" 1535 794
"139126" "NM_001256154" 2390 431
"139127" "NM_006737" 1877 475
"139128" "NM_000348" 4648 3715
"139129" "NM_015443" 5014 1522
"139130" "" 15564 871
"139131" "NM_014512" 1101 172
"139132" "NM_001174081" 3542 241
"139133" "NM_153443" 1691 439
"139134" "NM_032091" 3633 937
"139135" "NM_198882" 3859 52
"139136" "" 433 105
"139137" "" 6820 757
"139138" "NM_001243797" 2872 2482
"139139" "" 706 103
"139140" "NM_001282398" 1624 348
"139141" "" 705 464
"139142" "" 646 399
"139143" "" 1704 21
"139144" "" 1704 540
"139145" "" 2102 243
"139146" "NM_013372" 14606 13861
"139147" "" 695 403
"139148" "NM_005039" 1170 32
"139149" "NM_005039" 1170 106
"139150" "" 1369 103
"139151" "" 5805 758
"139152" "" 6380 1549
"139153" "" 3022 206
"139154" "" 3022 383
"139155" "" 3022 966
"139156" "NM_021706" 1465 590
"139157" "" 2968 1224
"139158" "NM_003475" 1928 372
"139159" "NM_001197027" 2140 357
"139160" "NM_183233" 1542 48
"139161" "NM_016834" 5345 4162
"139162" "" 645 80
"139163" "" 645 98
"139164" "" 645 94
"139165" "" 645 318
"139166" "" 787 55
"139167" "NM_199259" 2542 587
"139168" "" 2202 32
"139169" "NM_015307" 4705 3084
"139170" "" 1363 877
"139171" "" 1301 766
"139172" "NM_001291701" 1344 339
"139173" "NM_001291696" 1344 339
"139174" "NM_001291695" 1344 339
"139175" "NM_012312" 1344 339
"139176" "" 4138 272
"139177" "" 4778 609
"139178" "NM_021176" 1214 53
"139179" "" 4819 3205
"139180" "NM_014243" 4479 673
"139181" "NM_014243" 4479 152
"139182" "NM_031430" 1771 291
"139183" "" 2162 473
"139184" "" 1181 481
"139185" "NM_001256695" 10744 6964
"139186" "NM_015430" 2785 532
"139187" "" 1621 589
"139188" "NM_001281765" 8421 4550
"139189" "" 429 21
"139190" "" 1036 205
"139191" "NM_002000" 2469 1549
"139192" "NM_022874" 804 14
"139193" "" 747 102
"139194" "" 3149 51
"139195" "" 3149 220
"139196" "" 2651 981
"139197" "NM_001278360" 2254 801
"139198" "" 1116 136
"139199" "" 1116 128
"139200" "" 1116 134
"139201" "" 1116 234
"139202" "" 1116 111
"139203" "" 4570 3023
"139204" "" 2262 53
"139205" "" 2262 116
"139206" "" 1757 861
"139207" "NM_003043" 6528 4339
"139208" "NM_001278711" 1795 973
"139209" "NM_001286380" 3212 10
"139210" "NM_001286380" 3212 313
"139211" "" 4635 1849
"139212" "" 1473 251
"139213" "" 2765 334
"139214" "" 2765 371
"139215" "" 2981 28
"139216" "" 2981 153
"139217" "" 2981 81
"139218" "" 2981 137
"139219" "" 2981 156
"139220" "" 2981 106
"139221" "" 2981 129
"139222" "" 2981 189
"139223" "" 2981 192
"139224" "" 2981 1484
"139225" "" 2100 197
"139226" "NM_001127255" 3421 230
"139227" "NM_139176" 3421 230
"139228" "NM_001145971" 1931 749
"139229" "NM_138412" 1931 749
"139230" "" 837 332
"139231" "NM_001098621" 1303 417
"139232" "NM_001001418" 2063 314
"139233" "" 2939 110
"139234" "" 2661 849
"139235" "NM_001174082" 3507 241
"139236" "" 1384 430
"139237" "" 2176 996
"139238" "" 1088 132
"139239" "NM_182895" 3232 559
"139240" "" 1945 53
"139241" "" 1945 106
"139242" "" 1945 172
"139243" "" 1945 146
"139244" "" 1945 203
"139245" "" 1945 86
"139246" "" 1945 178
"139247" "" 1945 121
"139248" "" 1945 100
"139249" "" 1945 170
"139250" "" 1945 179
"139251" "NM_001080826" 4639 417
"139252" "" 2931 25
"139253" "NM_001135686" 897 55
"139254" "NM_006737" 1877 475
"139255" "" 6927 174
"139256" "" 6927 54
"139257" "" 6927 102
"139258" "" 6927 188
"139259" "" 6927 60
"139260" "" 6927 264
"139261" "" 6927 117
"139262" "" 6927 4578
"139263" "NM_001286479" 5157 2103
"139264" "" 2836 1578
"139265" "" 2836 393
"139266" "" 1022 281
"139267" "" 1291 29
"139268" "" 1291 548
"139269" "" 1221 6
"139270" "NM_144600" 2275 1719
"139271" "" 2480 29
"139272" "" 2480 326
"139273" "" 518 1
"139274" "" 518 201
"139275" "NM_001242356" 868 199
"139276" "NM_001242357" 868 199
"139277" "" 1358 550
"139278" "NM_001256185" 2422 1766
"139279" "NM_001083899" 2268 376
"139280" "NM_001258039" 2352 1208
"139281" "NM_130771" 1547 550
"139282" "NM_133169" 1547 550
"139283" "" 4941 203
"139284" "" 4941 310
"139285" "" 4941 199
"139286" "" 4941 126
"139287" "" 4941 101
"139288" "" 4941 146
"139289" "" 4941 158
"139290" "" 4941 166
"139291" "" 4941 194
"139292" "" 4941 675
"139293" "" 1987 1294
"139294" "NM_001242462" 4312 3412
"139295" "" 1053 520
"139296" "NM_015629" 2183 286
"139297" "NM_173614" 4252 510
"139298" "" 1590 510
"139299" "" 567 44
"139300" "" 567 80
"139301" "" 567 311
"139302" "" 1884 497
"139303" "NM_058206" 481 275
"139304" "NM_001291739" 825 280
"139305" "" 1078 29
"139306" "" 1078 396
"139307" "" 2548 2185
"139308" "" 715 10
"139309" "NM_001282349" 2049 1007
"139310" "" 686 289
"139311" "" 1850 1032
"139312" "" 750 227
"139313" "" 1328 89
"139314" "" 1328 758
"139315" "" 1328 326
"139316" "" 1862 30
"139317" "NM_001291701" 1058 193
"139318" "" 2932 665
"139319" "NM_001080772" 1535 40
"139320" "NM_001080772" 1535 671
"139321" "" 536 106
