Ensembl Transcript ID	RefSeq mRNA [e.g. NM_001195597]	Transcript length (including UTRs and CDS)
ENST00000615504	NM_033318	1567
ENST00000398731		722
ENST00000532443		587
ENST00000247668	NM_021138	2264
ENST00000630775		556
ENST00000393939	NM_001079871	5683
ENST00000262415	NM_004941	5558
ENST00000530798		710
ENST00000307078	NM_004655	4259
ENST00000474531	NM_001282714	2271
ENST00000451608		5059
ENST00000414589		680
ENST00000587145		577
ENST00000526369		564
ENST00000605777		235
ENST00000590457		552
ENST00000636965		3247
ENST00000375702		2541
ENST00000611993		1658
ENST00000588015		651
ENST00000370187	NM_033637	6134
ENST00000334179	NM_203412	1478
ENST00000578251		588
ENST00000577278		976
ENST00000474950		380
ENST00000591673		568
ENST00000526347		862
ENST00000378626	NM_002307	466
ENST00000530294		977
ENST00000447756	NM_001282713	1432
ENST00000475200		527
ENST00000592256		590
ENST00000526074		573
ENST00000580513		1060
ENST00000599035		565
ENST00000482854		852
ENST00000528284		568
ENST00000587044		6215
ENST00000472454		1615
ENST00000588111		561
ENST00000465970		580
ENST00000585045		1034
ENST00000469701		308
ENST00000323482	NM_032501	3680
ENST00000323482	NM_001252675	3680
ENST00000528750		1168
ENST00000484685		454
ENST00000585676		629
ENST00000408038	NM_003939	5982
ENST00000422815		1354
ENST00000544103		621
ENST00000466107		233
ENST00000379725		533
ENST00000376726		2244
ENST00000533894		553
ENST00000347901	NM_177977	3931
ENST00000497310		834
ENST00000530390		879
ENST00000589898		739
ENST00000317361	NM_197966	2495
ENST00000465182		685
ENST00000341193	NM_001079870	3880
ENST00000370183		655
ENST00000527612		598
ENST00000415496	NM_001142291	6405
ENST00000475252		2467
ENST00000310778		4087
ENST00000618960		4060
ENST00000587574		492
ENST00000391549	NM_013941	1649
ENST00000611991		1019
ENST00000493877		772
ENST00000432802	NM_001252677	2438
ENST00000638133		814
ENST00000379721	NM_014471	402
ENST00000550017		1039
ENST00000393441	NM_001256856	6084
ENST00000532793		550
ENST00000537502	NM_001252676	3509
ENST00000530548		3774
ENST00000525922		358
ENST00000340170		3395
ENST00000531657		3036
ENST00000571136	NM_001123387	776
ENST00000528853		745
ENST00000617316	NM_032790	2138
ENST00000506498		766
ENST00000617413		375
ENST00000588241		509
ENST00000318351	NM_130770	1697
ENST00000424464		818
ENST00000611718		852
ENST00000511373		769
ENST00000504684		598
ENST00000402578		4760
ENST00000410012	NM_001159747	1792
ENST00000399774		2167
ENST00000330288	NM_001163438	1536
ENST00000370596		2905
ENST00000399775	NM_198573	1082
ENST00000344386	NM_001001732	1809
ENST00000520113	NM_000036	2375
ENST00000513342		4250
ENST00000326813	NM_001288563	2888
ENST00000618242		980
ENST00000535902	NM_018050	5831
ENST00000506271		864
ENST00000483391	NM_001258002	1188
ENST00000331264	NM_001014985	1023
ENST00000514948		322
ENST00000369538	NM_001172626	2392
ENST00000396349		2220
ENST00000478195		2316
ENST00000264824	NM_005583	1490
ENST00000545735		1501
ENST00000485564		441
ENST00000543314		496
ENST00000590974		902
ENST00000313472	NM_001005201	939
ENST00000590120		1547
ENST00000216294	NM_003082	2656
ENST00000500337		2950
ENST00000294664	NM_145172	2995
ENST00000369740	NM_201653	1625
ENST00000622615	NM_138440	2806
ENST00000489337		3560
ENST00000528899		548
ENST00000438223		545
ENST00000554375		1791
ENST00000263208	NM_003325	4053
ENST00000416786		823
ENST00000399765	NM_001244570	1879
ENST00000557542		446
ENST00000431481		534
ENST00000339950	NM_003368	3996
ENST00000556109		575
ENST00000397080	NM_022483	2338
ENST00000464801		3477
ENST00000464189		560
ENST00000452818		453
ENST00000204604	NM_001304473	3521
ENST00000204604	NM_001304474	3521
ENST00000204604	NM_003741	3521
ENST00000567194		530
ENST00000484007		447
ENST00000371146	NM_001017415	3507
ENST00000371146	NM_001017416	3507
ENST00000512085		1927
ENST00000557263		1458
ENST00000494097		2429
ENST00000561887		137
ENST00000373657		4344
ENST00000403097		5432
ENST00000557207		529
ENST00000549950		1693
ENST00000566594		254
ENST00000511525		629
ENST00000308366	NM_000928	565
ENST00000342111		854
ENST00000510130		721
ENST00000460658		5080
ENST00000551411		523
ENST00000492105		2772
ENST00000506860		736
ENST00000466272		576
ENST00000554125		6248
ENST00000472578		2687
ENST00000549858		397
ENST00000455608		648
ENST00000231461	NM_005668	6303
ENST00000366595		5412
ENST00000404574		1735
ENST00000334463	NM_017669	4243
ENST00000423423		423
ENST00000480780		3194
ENST00000322641	NM_001005163	1065
ENST00000451528	NM_175052	1794
ENST00000560968		3030
ENST00000549767		562
ENST00000507360		559
ENST00000493335		2937
ENST00000352594		1482
ENST00000406641		2700
ENST00000624247		1263
ENST00000523381		655
ENST00000477918		4250
ENST00000472911		543
ENST00000353665	NM_001258004	1214
ENST00000353665	NM_001258005	1214
ENST00000284856	NM_004202	1669
ENST00000489524		977
ENST00000322653	NM_001005289	963
ENST00000504335		2608
ENST00000612341	NM_001207018	3321
ENST00000343788	NM_001130912	1217
ENST00000619644	NM_001207017	3227
ENST00000430148		2011
ENST00000312858		2438
ENST00000550913	NM_030959	1869
ENST00000550946		1394
ENST00000547314		533
ENST00000264187	NM_002508	5864
ENST00000310528	NM_006704	14131
ENST00000472450		1188
ENST00000357271	NM_001001549	2050
ENST00000609175		2802
ENST00000407526		2279
ENST00000430615	NM_001258003	1320
ENST00000430615	NM_021797	1320
ENST00000430615	NM_001258001	1320
ENST00000552573		526
ENST00000261530	NM_017926	14007
ENST00000556663		2112
ENST00000538413		842
ENST00000551952	NM_001244567	700
ENST00000484894		551
ENST00000401949		2627
ENST00000521992	NM_001190158	2258
ENST00000402497		2289
ENST00000473439		638
ENST00000528057	NM_001300802	3121
ENST00000528057	NM_001006944	3121
ENST00000554799		821
ENST00000461886		624
ENST00000552886		330
ENST00000525620		1205
ENST00000553588		776
ENST00000471129		900
ENST00000473696		1065
ENST00000556675		771
ENST00000482397		575
ENST00000622694	NM_001196	2199
ENST00000451398	NM_001040623	1256
ENST00000428711		484
ENST00000611040		419
ENST00000556372		539
ENST00000334205	NM_001318361	3119
ENST00000334205	NM_003942	3119
ENST00000615414	NM_001244572	2236
ENST00000319165	NM_145024	2016
ENST00000614949	NM_001244569	1988
ENST00000439044		733
ENST00000535883		1263
ENST00000399767	NM_197967	2129
ENST00000530383		521
ENST00000621494	NM_017972	12396
ENST00000371692	NM_152421	1668
ENST00000204549	NM_005707	2851
ENST00000343320		1624
ENST00000636395		5677
ENST00000617586		542
ENST00000518005		2092
ENST00000465602		381
ENST00000560313		309
ENST00000483819		657
ENST00000296015	NM_133462	2881
ENST00000447564		1500
ENST00000456406	NM_002120	1372
ENST00000371691		2410
ENST00000513692	NM_001278632	2391
ENST00000559051		557
ENST00000301364	NM_018128	5188
ENST00000491380		601
ENST00000470992		544
ENST00000308910	NM_152785	3336
ENST00000290567	NM_001143685	2084
ENST00000575049		387
ENST00000486158		1514
ENST00000412756	NM_001042601	4568
ENST00000310421	NM_025054	9942
ENST00000483157		540
ENST00000455155		543
ENST00000531659		555
ENST00000576112		1290
ENST00000366958	NM_001270616	8240
ENST00000524722		2253
ENST00000492265		447
ENST00000465065		7052
ENST00000527042		547
ENST00000607726		562
ENST00000520435		1948
ENST00000532549		839
ENST00000467386		524
ENST00000478162		599
ENST00000427136	NM_004381	2620
ENST00000541580		1669
ENST00000571806		794
ENST00000435016	NM_002763	3075
ENST00000463004		4580
ENST00000231357	NM_016358	2221
ENST00000262765	NM_032134	5357
ENST00000544479		1067
ENST00000576202		573
ENST00000490051		578
ENST00000301765	NM_017966	2865
ENST00000607425		560
ENST00000439240	NM_001136153	2624
ENST00000536025		574
ENST00000470669		3150
ENST00000369864		5088
ENST00000538036		506
ENST00000484193	NM_001190259	1036
ENST00000417614		425
ENST00000448472		3547
ENST00000369862	NM_020703	2229
ENST00000335185	NM_001008391	3849
ENST00000382584	NM_001288582	2274
ENST00000477445		561
ENST00000398810	NM_001001550	4785
ENST00000420973		3492
ENST00000398812	NM_005311	4705
ENST00000505790	NM_001278634	2538
ENST00000528333		433
ENST00000461283		2415
ENST00000335866	NM_001001555	5032
ENST00000465605		819
ENST00000462895		836
ENST00000498508		8498
ENST00000372806	NM_006282	6342
ENST00000536000		915
ENST00000261454		8170
ENST00000508261		1858
ENST00000535818		865
ENST00000367941	NM_003569	15791
ENST00000367942	NM_007348	7496
ENST00000460627		4719
ENST00000370010	NM_001100409	4644
ENST00000505938		536
ENST00000470085		1072
ENST00000456101		4112
ENST00000450923	NM_001304472	3384
ENST00000614215	NM_001282301	1026
ENST00000367937		1090
ENST00000534415		1476
ENST00000327284	NM_001304792	2700
ENST00000495418		871
ENST00000492617		741
ENST00000488618		932
ENST00000348986		3155
ENST00000476437		778
ENST00000495660		706
ENST00000372801		2038
ENST00000511126		745
ENST00000470150		4234
ENST00000531481		4381
ENST00000448348		556
ENST00000465625		758
ENST00000301529	NM_001004064	948
ENST00000001008	NM_002014	3732
ENST00000487397		408
ENST00000496527		588
ENST00000475879		585
ENST00000480745		549
ENST00000613726	NM_001278635	2403
ENST00000459711		503
ENST00000485883		568
ENST00000543769		425
ENST00000356865	NM_024490	6680
ENST00000622814	NM_001278633	2398
ENST00000631236		1609
ENST00000487587		1850
ENST00000540260		777
ENST00000460387	NM_001190260	623
ENST00000303407	NM_007371	5652
ENST00000538622		572
ENST00000288266	NM_012096	6058
ENST00000474717		722
ENST00000482805		608
ENST00000396693	NM_001154458	1156
ENST00000486066		546
ENST00000498564		1176
ENST00000447266	NM_015571	6501
ENST00000621384	NM_001756	1534
ENST00000543037		727
ENST00000473349		761
ENST00000488580		816
ENST00000533483		2234
ENST00000477295		1020
ENST00000630843		719
ENST00000461684		677
ENST00000539181		370
ENST00000371834		2529
ENST00000499879		6161
ENST00000475964		564
ENST00000482014		560
ENST00000533176		559
ENST00000487901		809
ENST00000494743		507
ENST00000544366		287
ENST00000555815		6766
ENST00000371842		574
ENST00000630279		156
ENST00000555450		831
ENST00000461120		683
ENST00000493959		867
ENST00000555756		418
ENST00000433041		599
ENST00000464833		1340
ENST00000483859		1013
ENST00000355264	NM_001320264	5124
ENST00000355264	NM_012095	5124
ENST00000355264	NM_207012	5124
ENST00000354960	NM_001083	7154
ENST00000487548		427
ENST00000372745		2320
ENST00000389967		1186
ENST00000480373		462
ENST00000424947		2685
ENST00000553577		597
ENST00000332793	NM_001039752	2026
ENST00000487653		550
ENST00000528355		2532
ENST00000619904		988
ENST00000532724		864
ENST00000286688	NM_177965	3334
ENST00000436928		595
ENST00000268231	NM_144605	1469
ENST00000442738	NM_021974	2106
ENST00000530504		2114
ENST00000526800		699
ENST00000370791	NM_198549	5288
ENST00000264805	NM_033430	3020
ENST00000485497		941
ENST00000482800		2217
ENST00000532885		902
ENST00000587603		1436
ENST00000254730	NM_021937	2232
ENST00000495803		396
ENST00000532496		588
ENST00000477627		500
ENST00000503412		892
ENST00000503501		2041
ENST00000468342		419
ENST00000483457		1859
ENST00000460648		518
ENST00000591200		504
ENST00000512494		411
ENST00000492562		610
ENST00000476203		3782
ENST00000444459		516
ENST00000484438		640
ENST00000407936	NM_001301130	582
ENST00000407936	NM_001301131	582
ENST00000512583	NM_001297615	1836
ENST00000590741		618
ENST00000479673		3330
ENST00000509612		738
ENST00000476060		2254
ENST00000464446		886
ENST00000483569		745
ENST00000488530		728
ENST00000474906		802
ENST00000591861		554
ENST00000252453	NM_018687	872
ENST00000492501		545
ENST00000590303		563
ENST00000587543		432
ENST00000591624		554
ENST00000443751	NM_001270384	6409
ENST00000513594		572
ENST00000512450		567
ENST00000488684		564
ENST00000616433		1223
ENST00000492213	NM_001301129	550
ENST00000416548	NM_004761	3278
ENST00000416548	NM_001243738	3278
ENST00000483713		615
ENST00000305107	NM_021139	2103
ENST00000512739		648
ENST00000469276		1037
ENST00000631244	NM_001104925	2401
ENST00000502912		371
ENST00000389658	NM_005559	9657
ENST00000590564		787
ENST00000508914		514
ENST00000629502		1321
ENST00000463656		1141
ENST00000302003	NM_016820	1655
ENST00000260372	NM_001323632	3949
ENST00000260372	NM_018097	3949
ENST00000357627	NM_001001966	930
ENST00000443002		1890
ENST00000506580		1453
ENST00000627852		476
ENST00000477761		1009
ENST00000343010	NM_198562	4235
ENST00000606538		760
ENST00000470552		1027
ENST00000395270	NM_001257190	7011
ENST00000289488	NM_145309	2332
ENST00000405557		560
ENST00000424960		602
ENST00000502655		1187
ENST00000463248		1020
ENST00000503836		570
ENST00000420633		747
ENST00000470701		584
ENST00000510114		596
ENST00000477261		754
ENST00000436325		581
ENST00000344629	NM_002542	1744
ENST00000627415	NM_018257	2455
ENST00000412777		548
ENST00000483172		557
ENST00000412959		640
ENST00000576236	NM_004138	1287
ENST00000628846		572
ENST00000394439	NM_033437	6770
ENST00000567640		592
ENST00000310924	NM_019020	10936
ENST00000544691		1507
ENST00000585628		3198
ENST00000625337		1234
ENST00000358357		5320
ENST00000333418		811
ENST00000628717		584
ENST00000492048		2306
ENST00000591488		655
ENST00000302036	NM_016821	2220
ENST00000629544		541
ENST00000427034		883
ENST00000576768	NM_001271844	6342
ENST00000434423		3750
ENST00000568876	NM_001130447	1702
ENST00000608713		1612
ENST00000628501		528
ENST00000446813		3456
ENST00000492295		887
ENST00000631339		551
ENST00000339511	NM_016819	1815
ENST00000539271		570
ENST00000631154		2371
ENST00000627934	NM_172020	5480
ENST00000568846		709
ENST00000574858	NM_031964	779
ENST00000355537	NM_014717	4945
ENST00000436092		814
ENST00000488064		2825
ENST00000463815		932
ENST00000423494	NM_001205138	1270
ENST00000562398		575
ENST00000452533	NM_012063	4439
ENST00000592773		2951
ENST00000449570	NM_016829	1948
ENST00000618274		1534
ENST00000402929		3002
ENST00000563479		590
ENST00000417220		2472
ENST00000539587		428
ENST00000391623		2853
ENST00000321153	NM_001004	781
ENST00000564279		626
ENST00000398755	NM_001003931	2336
ENST00000538478		814
ENST00000340848	NM_001271845	4244
ENST00000396659	NM_001482	2597
ENST00000302008	NM_016828	2191
ENST00000570178		861
ENST00000607467		443
ENST00000425665		930
ENST00000572862	NM_001271846	1141
ENST00000324866	NM_001271471	2402
ENST00000439209		801
ENST00000570373		961
ENST00000399395	NM_020195	1233
ENST00000383826	NM_016827	1069
ENST00000558362		3911
ENST00000574241		770
ENST00000288050	NM_001322117	9255
ENST00000288050	NM_017990	9255
ENST00000471971		2070
ENST00000556548		2336
ENST00000558336		1522
ENST00000441094		860
ENST00000573782		685
ENST00000427369		3299
ENST00000470601		940
ENST00000561376		562
ENST00000216277	NM_032632	4519
ENST00000216277	NM_001293627	4519
ENST00000470749		697
ENST00000544409		3182
ENST00000574427		683
ENST00000429146		747
ENST00000558916		913
ENST00000498510		1040
ENST00000542846		527
ENST00000298715		2875
ENST00000558163		569
ENST00000541614	NM_001145307	726
ENST00000571872		567
ENST00000432857		554
ENST00000553930		1325
ENST00000475782		771
ENST00000426518		874
ENST00000532004		353
ENST00000537483		308
ENST00000556262		1960
ENST00000486510		443
ENST00000579014		10374
ENST00000558537		493
ENST00000352937		1392
ENST00000536917		579
ENST00000538105	NM_001308075	1041
ENST00000538105	NM_001290292	1041
ENST00000530797		637
ENST00000561148		903
ENST00000383825		472
ENST00000488089		4577
ENST00000299505	NM_014686	6717
ENST00000440313		253
ENST00000431474	NM_005485	2360
ENST00000416333		396
ENST00000524867		598
ENST00000559885		579
ENST00000490190		655
ENST00000541899		540
ENST00000530398		313
ENST00000588470		632
ENST00000484335		536
ENST00000558118		554
ENST00000602976		4977
ENST00000554698	NM_001290293	1364
ENST00000627854	NM_001303012	5450
ENST00000589583		582
ENST00000349503	NM_016826	1950
ENST00000585178		541
ENST00000560538		549
ENST00000526222		350
ENST00000556707		1196
ENST00000555365		976
ENST00000588338		561
ENST00000525722		489
ENST00000561920		2194
ENST00000592124		856
ENST00000458245		1107
ENST00000585833		584
ENST00000262135	NM_001127897	8195
ENST00000527517		646
ENST00000553546		648
ENST00000541924		1594
ENST00000555561		452
ENST00000398122		2734
ENST00000538646		1649
ENST00000626246		4837
ENST00000588974		1313
ENST00000064724	NM_005602	2169
ENST00000527933		572
ENST00000246891	NM_001890	985
ENST00000553343		681
ENST00000568530		7223
ENST00000544574		725
ENST00000422725	NM_001242659	2085
ENST00000486975		1139
ENST00000238667	NM_017791	3632
ENST00000507763	NM_001025104	597
ENST00000553357		585
ENST00000392982	NM_001272046	2794
ENST00000486429		998
ENST00000554947		1203
ENST00000345146	NM_005896	2382
ENST00000554496		441
ENST00000535955		434
ENST00000556249		556
ENST00000389413	NM_130843	4723
ENST00000555385		218
ENST00000538626		582
ENST00000507772		895
ENST00000603594		2600
ENST00000505782		871
ENST00000379925	NM_015272	5297
ENST00000633258		165
ENST00000555225		769
ENST00000409483	NM_001308267	4711
ENST00000330689	NM_019069	3720
ENST00000565186		4353
ENST00000539311	NM_001195283	1221
ENST00000389416	NM_130842	4692
ENST00000374994	NM_004612	6516
ENST00000510936		596
ENST00000562100		1643
ENST00000563746		4193
ENST00000555058		532
ENST00000373248		2570
ENST00000553257	NM_001278464	2699
ENST00000555355		934
ENST00000569042		598
ENST00000446179	NM_001282386	2298
ENST00000564374		3877
ENST00000389418	NM_001308268	4706
ENST00000389418	NM_002847	4706
ENST00000307864	NM_032797	3243
ENST00000435085		3194
ENST00000612095		1244
ENST00000556523		735
ENST00000553341		719
ENST00000242804	NM_030824	6219
ENST00000555830		418
ENST00000568009		482
ENST00000627279		6453
ENST00000556175		775
ENST00000482166		952
ENST00000629685		808
ENST00000615940		1895
ENST00000438182		1906
ENST00000378313	NM_198476	2753
ENST00000374990	NM_001130916	5720
ENST00000489485		1854
ENST00000556241		518
ENST00000404321		1374
ENST00000625637		6986
ENST00000531008		594
ENST00000555778		608
ENST00000415913	NM_001282387	2441
ENST00000424168		567
ENST00000314980	NM_001042507	483
ENST00000613322	NM_001198696	3247
ENST00000563930		551
ENST00000553587		584
ENST00000565343		1611
ENST00000553937		217
ENST00000307198	NM_001145310	3604
ENST00000307198	NM_001145308	3604
ENST00000307198	NM_001145309	3604
ENST00000468358		593
ENST00000462995		536
ENST00000556856		1020
ENST00000600304		532
ENST00000567046		1207
ENST00000545749		1884
ENST00000554580		669
ENST00000471373		571
ENST00000627778		2341
ENST00000484575		1044
ENST00000562230		1107
ENST00000549766		1678
ENST00000549701	NM_012062	2487
ENST00000555027		938
ENST00000447974		2007
ENST00000620687	NM_014638	4837
ENST00000620687	NM_001303013	4837
ENST00000477531		1065
ENST00000562588		651
ENST00000531908		746
ENST00000504530		539
ENST00000488989		600
ENST00000415282		942
ENST00000541395		3332
ENST00000358214		3229
ENST00000556409		609
ENST00000552516	NM_001306210	5933
ENST00000564563		2381
ENST00000630790		4499
ENST00000540108		3039
ENST00000505582		558
ENST00000568653		2429
ENST00000462386		1614
ENST00000556745		575
ENST00000274456	NM_001077654	795
ENST00000567896		690
ENST00000549021		680
ENST00000544413	NM_001306179	2014
ENST00000566096		893
ENST00000388882		541
ENST00000480067		1589
ENST00000543255		762
ENST00000340001	NM_080283	6514
ENST00000569716		465
ENST00000548365		582
ENST00000417583		702
ENST00000473039		4800
ENST00000256495	NM_003670	3473
ENST00000453985		6116
ENST00000513374	NM_001286814	1385
ENST00000312438	NM_013246	1844
ENST00000550253		1538
ENST00000621565	NM_001308334	6038
ENST00000019019	NM_177439	1986
ENST00000482072		235
ENST00000451391		563
ENST00000219478	NM_021646	5880
ENST00000546584		565
ENST00000460872		635
ENST00000620710	NM_001321402	1947
ENST00000620710	NM_001282501	1947
ENST00000485070	NM_001282789	1574
ENST00000588942		276
ENST00000481557		556
ENST00000492580		514
ENST00000361328	NM_145238	4316
ENST00000591026		2397
ENST00000595583	NM_001321403	1830
ENST00000595583	NM_001282502	1830
ENST00000465737		1203
ENST00000533438	NM_001166212	967
ENST00000545009	NM_001303450	2440
ENST00000467610		1366
ENST00000348411	NM_012280	1892
ENST00000513257	NM_001009922	759
ENST00000373413		2367
ENST00000484425		1818
ENST00000461623		2172
ENST00000377777	NM_021063	496
ENST00000460806		396
ENST00000553689		2267
ENST00000495634		1428
ENST00000454853	NM_002042	2820
ENST00000480917		877
ENST00000485486		547
ENST00000617846		725
ENST00000313117	NM_001031684	2489
ENST00000585714		582
ENST00000589422		1831
ENST00000504771		8681
ENST00000289316	NM_138720	789
ENST00000617505		576
ENST00000557320	NM_001252006	3264
ENST00000592425		604
ENST00000493738		873
ENST00000588602		507
ENST00000585853		377
ENST00000554130		848
ENST00000356530	NM_003522	1196
ENST00000585977		312
ENST00000503646	NM_001286813	2502
ENST00000503646	NM_014350	2502
ENST00000469348		867
ENST00000470681		2521
ENST00000548671		750
ENST00000228140		491
ENST00000369451	NM_001267582	1823
ENST00000564445		864
ENST00000504642		711
ENST00000557471	NM_001252007	1421
ENST00000566644		612
ENST00000415806		1990
ENST00000469741		1792
ENST00000400514		471
ENST00000556619		584
ENST00000439590	NM_001035258	431
ENST00000596940		492
ENST00000617366		2473
ENST00000400512		261
ENST00000526895		561
ENST00000409720		1954
ENST00000473235		688
ENST00000594163		519
ENST00000457434		1994
ENST00000392990		2588
ENST00000598485		553
ENST00000481493		335
ENST00000555626	NM_001293632	2272
ENST00000555626	NM_001293628	2272
ENST00000596809		1104
ENST00000487353		838
ENST00000556248		652
ENST00000311111	NM_000999	1170
ENST00000266481	NM_005690	3101
ENST00000557406		450
ENST00000435811	NM_001256703	3106
ENST00000597507		947
ENST00000555224		534
ENST00000635641		1637
ENST00000490202		965
ENST00000530646		2450
ENST00000598352		546
ENST00000555912		2277
ENST00000356853	NM_024782	2094
ENST00000611484	NM_001256704	3259
ENST00000461971		656
ENST00000589405		328
ENST00000621627		2857
ENST00000550011		576
ENST00000525634	NM_001017	646
ENST00000553461		892
ENST00000600139		369
ENST00000529123		576
ENST00000496914		597
ENST00000635200		948
ENST00000551076		556
ENST00000525828		664
ENST00000584577		344
ENST00000555131		546
ENST00000466658		570
ENST00000533969		355
ENST00000534490		429
ENST00000555021		547
ENST00000528433		169
ENST00000554666		558
ENST00000418099		2113
ENST00000622583		565
ENST00000471558		1201
ENST00000621995		912
ENST00000527571		777
ENST00000556787		806
ENST00000380698	NM_004155	4118
ENST00000494211		555
ENST00000427374	NM_002931	1752
ENST00000555701		1875
ENST00000534329		568
ENST00000426304		753
ENST00000533498		532
ENST00000556283		644
ENST00000528074		583
ENST00000628423		4340
ENST00000472412		1532
ENST00000554135		735
ENST00000491159		572
ENST00000627645		709
ENST00000337672	NM_153450	1515
ENST00000556459		959
ENST00000483627		587
ENST00000543427		2819
ENST00000315184	NM_001282788	1718
ENST00000315184	NM_032599	1718
ENST00000457600		734
ENST00000623806	NM_001321400	2025
ENST00000623806	NM_175743	2025
ENST00000553940		454
ENST00000623438	NM_001321401	2009
ENST00000623438	NM_175742	2009
ENST00000397356	NM_005326	2984
ENST00000555508		588
ENST00000496365		1287
ENST00000551643		538
ENST00000483459		662
ENST00000466371		736
ENST00000450447		547
ENST00000324439	NM_015436	4686
ENST00000324439	NM_001278539	4686
ENST00000467954		803
ENST00000551476		560
ENST00000466842		404
ENST00000569055	NM_001291462	2065
ENST00000481764		555
ENST00000550154		550
ENST00000507848		1071
ENST00000475806		576
ENST00000621392		1591
ENST00000611557	NM_005361	2024
ENST00000489599		778
ENST00000547932		417
ENST00000508839		289
ENST00000598543	NM_001321404	1662
ENST00000598543	NM_001282505	1662
ENST00000274766	NM_181337	1382
ENST00000561090		3632
ENST00000611674	NM_001282504	1728
ENST00000431606		1089
ENST00000505394		373
ENST00000396894	NM_001282157	1669
ENST00000319234	NM_001080505	1971
ENST00000380840	NM_001278536	1735
ENST00000528205		1088
ENST00000615446		2344
ENST00000455446	NM_001286249	1276
ENST00000534677		740
ENST00000543808		822
ENST00000361339		2987
ENST00000329434	NM_153444	1069
ENST00000505105		1304
ENST00000398106		1510
ENST00000434676		1008
ENST00000358894	NM_020882	4172
ENST00000611207	NM_015868	1585
ENST00000408901	NM_001042635	1143
ENST00000464460		2878
ENST00000436892		1401
ENST00000511856		597
ENST00000413295		1064
ENST00000594800		1173
ENST00000511189		926
ENST00000547312	NM_001278463	2393
ENST00000399344		2607
ENST00000368985	NM_004079	4107
ENST00000459812		4181
ENST00000397286		1466
ENST00000556378		803
ENST00000602069		587
ENST00000472977		673
ENST00000477913		827
ENST00000557097		270
ENST00000357052	NM_016154	1133
ENST00000607427		390
ENST00000484533		1199
ENST00000486292		1010
ENST00000361368	NM_001199847	5581
ENST00000361368	NM_181349	5581
ENST00000425778		2857
ENST00000616600	NM_001001520	2281
ENST00000485127		1029
ENST00000448301	NM_001199739	1421
ENST00000600078		715
ENST00000511511		1098
ENST00000320849	NM_001271874	2430
ENST00000425941		1944
ENST00000511819		632
ENST00000621835	NM_032631	2255
ENST00000553336		712
ENST00000483930		752
ENST00000264498		6775
ENST00000397353	NM_001040427	1257
ENST00000456720	NM_001270709	1228
ENST00000373932	NM_015511	2689
ENST00000601353		648
ENST00000215095	NM_052874	4664
ENST00000506096		457
ENST00000610480		1601
ENST00000452806		747
ENST00000397572	NM_012333	2818
ENST00000608478		3880
ENST00000480760		650
ENST00000567398		1473
ENST00000514589		2443
ENST00000515878		385
ENST00000614010	NM_002006	6774
ENST00000397154	NM_015514	2204
ENST00000620373		1048
ENST00000566709		1291
ENST00000494695		750
ENST00000569638		4178
ENST00000432873		603
ENST00000383194	NM_001141969	2614
ENST00000383194	NM_001141970	2614
ENST00000383194	NM_001350	2614
ENST00000614511		1378
ENST00000479501		4536
ENST00000409276		1050
ENST00000565419		1208
ENST00000569339		820
ENST00000575654	NM_176890	1000
ENST00000589486		805
ENST00000361125	NM_020429	5737
ENST00000566211		652
ENST00000484793		834
ENST00000416322		1163
ENST00000592691		740
ENST00000477619		1260
ENST00000613278		2548
ENST00000561836		418
ENST00000495043		819
ENST00000471954		817
ENST00000602421		1423
ENST00000477635		680
ENST00000465771		341
ENST00000612144		4303
ENST00000494562		847
ENST00000615225		3100
ENST00000378307		890
ENST00000466908		641
ENST00000587016		870
ENST00000414635		2306
ENST00000460461		1453
ENST00000602173		592
ENST00000480055		1012
ENST00000546649		2097
ENST00000592417		1349
ENST00000496639		756
ENST00000496677	NM_001185072	1098
ENST00000422202		8097
ENST00000614903		239
ENST00000472627		825
ENST00000553439		2763
ENST00000597476		1982
ENST00000431066		1847
ENST00000429531		702
ENST00000619255		320
ENST00000569700		1156
ENST00000598430		1728
ENST00000555128		786
ENST00000375662	NM_182623	1695
ENST00000567190		472
ENST00000512567		1164
ENST00000564518		513
ENST00000556953		614
ENST00000443213		1903
ENST00000415763		1204
ENST00000438332		751
ENST00000438502	NM_007243	1755
ENST00000556483		838
ENST00000558189		4689
ENST00000472717		1661
ENST00000590426		433
ENST00000494997		463
ENST00000455906		750
ENST00000494078		1075
ENST00000565097		1147
ENST00000556022		999
ENST00000419051		371
ENST00000425826		2122
ENST00000471582		1924
ENST00000620249	NM_001270707	1734
ENST00000487773		637
ENST00000399150	NM_001289161	2346
ENST00000494913		1497
ENST00000497962		580
ENST00000504085		1123
ENST00000381000	NM_001278465	4397
ENST00000496810		723
ENST00000330883	NM_172057	3267
ENST00000548750		813
ENST00000512706	NM_001278538	1011
ENST00000478331		624
ENST00000507014	NM_001278537	650
ENST00000549926		750
ENST00000556580		629
ENST00000415527		1135
ENST00000446327	NM_001195446	2453
ENST00000590799		971
ENST00000513909		728
ENST00000556103		454
ENST00000373624	NM_020946	5010
ENST00000546757		2661
ENST00000437684		2310
ENST00000505514		1089
ENST00000556699		725
ENST00000513083		540
ENST00000547719		601
ENST00000373620	NM_024820	3612
ENST00000514021		436
ENST00000547548		724
ENST00000265354	NM_003131	4202
ENST00000475421		537
ENST00000366552	NM_144625	4371
ENST00000361887	NM_052926	3197
